id,county_id,year,population
478,60,2015,13174
479,60,2017,12687
480,60,2011,13491
481,61,2013,81497
482,61,2015,81047
483,61,2017,80065
484,61,2010,82107
485,61,2016,80386
486,61,2012,82072
487,61,2011,81792
488,61,2014,81445
489,62,2012,41040
490,62,2017,40681
491,62,2010,41477
492,62,2011,41394
493,62,2016,40574
494,62,2014,40886
495,62,2013,41021
496,62,2015,40617
497,63,2014,202803
498,63,2017,207811
499,63,2013,200752
500,63,2012,198597
501,63,2015,204473
502,63,2016,206282
503,63,2011,196699
504,63,2010,194993
505,64,2011,66577
506,64,2016,64561
507,64,2014,65326
508,64,2015,64939
509,64,2017,64058
510,64,2010,66998
511,64,2012,66084
512,64,2013,65749
513,65,2016,16646
514,65,2010,17629
515,65,2012,17140
516,65,2017,16531
517,65,2015,16812
518,65,2013,16888
519,65,2011,17355
520,65,2014,16851
521,66,2014,10951
522,66,2015,10901
523,66,2016,10875
524,66,2017,10719
525,66,2011,11440
526,66,2010,11562
527,66,2013,11150
528,66,2012,11306
529,67,2016,23887
530,67,2010,24408
531,67,2013,24183
532,67,2012,24186
533,67,2015,23918
534,67,2014,24129
535,67,2011,24354
536,67,2017,23722
537,68,2017,3370
538,68,2010,3170
539,68,2016,3324
540,68,2014,3325
541,68,2013,3324
542,68,2011,3262
543,68,2012,3304
544,68,2015,3346
545,69,2015,5818
546,69,2017,5763
547,69,2016,5747
548,69,2014,5839
549,69,2010,5564
550,69,2012,5689
551,69,2011,5587
552,69,2013,5752
553,70,2015,298018
554,70,2013,301081
555,70,2011,296291
556,70,2012,298520
557,70,2014,300296
558,70,2017,294356
559,70,2010,293370
560,70,2016,297376
561,71,2015,17951
562,71,2013,17847
563,71,2011,17416
564,71,2010,17085
565,71,2016,17980
566,71,2017,18076
567,71,2012,17656
568,71,2014,17929
569,72,2011,1030
570,72,2016,905
571,72,2015,904
572,72,2013,952
573,72,2010,1002
574,72,2017,867
575,72,2014,949
576,72,2012,980
577,73,2011,1870
578,73,2017,2074
579,73,2015,1931
580,73,2010,1835
581,73,2014,1913
582,73,2013,1932
583,73,2016,2045
584,73,2012,1909
585,74,2012,4953
586,74,2013,4981
587,74,2015,4993
588,74,2010,4850
589,74,2011,4948
590,74,2014,4987
591,74,2016,4976
592,74,2017,4932
593,75,2011,98136
594,75,2015,99643
595,75,2017,99703
596,75,2010,98276
597,75,2012,100354
598,75,2016,100602
599,75,2013,100898
600,75,2014,99308
601,76,2016,2531
602,76,2011,2574
603,76,2014,2555
604,76,2015,2516
605,76,2017,2526
606,76,2012,2578
607,76,2013,2559
608,76,2010,2502
609,77,2014,2130
610,77,2012,2147
611,77,2013,2149
612,77,2017,2145
613,77,2011,2117
614,77,2015,2159
615,77,2010,2139
616,77,2016,2145
617,78,2011,32162
618,78,2017,32094
619,78,2016,32405
620,78,2015,32612
621,78,2012,32395
622,78,2014,32490
623,78,2010,31394
624,78,2013,32570
625,79,2016,58543
626,79,2011,56304
627,79,2015,58067
628,79,2013,56993
629,79,2014,57585
630,79,2010,55561
631,79,2012,56910
632,79,2017,58617
633,80,2012,13700
634,80,2013,13682
635,80,2011,13644
636,80,2014,13780
637,80,2015,13680
638,80,2010,13544
639,80,2017,13856
640,80,2016,13727
641,81,2012,14054
642,81,2015,13753
643,81,2017,13448
644,81,2016,13679
645,81,2011,13820
646,81,2010,13652
647,81,2014,13906
648,81,2013,14078
649,82,2016,8161
650,82,2012,7790
651,82,2017,8202
652,82,2011,7649
653,82,2010,7466
654,82,2015,8200
655,82,2014,8105
656,82,2013,7970
657,83,2015,1595
658,83,2014,1647
659,83,2012,1647
660,83,2013,1663
661,83,2010,1639
662,83,2011,1648
663,83,2017,1620
664,83,2016,1602
665,84,2015,101064
666,84,2010,89738
667,84,2016,104123
668,84,2014,98104
669,84,2017,106532
670,84,2011,91721
671,84,2012,93681
672,84,2013,95853
673,85,2015,9869
674,85,2012,9816
675,85,2016,9915
676,85,2017,9921
677,85,2010,9543
678,85,2011,9775
679,85,2013,9844
680,85,2014,9798
681,86,2011,9549
682,86,2015,9780
683,86,2010,9477
684,86,2017,9782
685,86,2013,9776
686,86,2012,9692
687,86,2014,9763
688,86,2016,9685
689,87,2017,7684
690,87,2011,7705
691,87,2014,7756
692,87,2015,7752
693,87,2012,7707
694,87,2010,7559
695,87,2013,7721
696,87,2016,7662
697,88,2014,3265
698,88,2017,3281
699,88,2016,3278
700,88,2013,3287
701,88,2015,3263
702,88,2012,3279
703,88,2010,3219
704,88,2011,3253
705,89,2015,6505
706,89,2014,6462
707,89,2010,6215
708,89,2017,6443
709,89,2013,6446
710,89,2011,6376
711,89,2016,6507
712,89,2012,6424
713,90,2012,9022
714,90,2013,8962
715,90,2010,8883
716,90,2017,8689
717,90,2014,8844
718,90,2011,8888
719,90,2016,8768
720,90,2015,8786
721,91,2012,999
722,91,2010,968
723,91,2017,1157
724,91,2014,1052
725,91,2011,962
726,91,2016,1130
727,91,2015,1086
728,91,2013,1024
729,92,2015,6807
730,92,2017,6888
731,92,2011,7149
732,92,2016,6840
733,92,2012,7172
734,92,2010,7061
735,92,2014,6929
736,92,2013,6980
737,93,2016,9340
738,93,2017,9278
739,93,2015,9327
740,93,2010,9657
741,93,2011,9742
742,93,2014,9478
743,93,2012,9735
744,93,2013,9773
745,94,2017,2521
746,94,2011,2394
747,94,2014,2446
748,94,2015,2456
749,94,2013,2451
750,94,2012,2424
751,94,2010,2371
752,94,2016,2502
753,95,2012,664
754,95,2011,656
755,95,2015,635
756,95,2014,655
757,95,2016,612
758,95,2013,651
759,95,2017,605
760,95,2010,662
761,96,2013,5561
762,96,2017,5365
763,96,2016,5412
764,96,2011,5631
765,96,2012,5624
766,96,2010,5613
767,96,2015,5463
768,96,2014,5463
769,97,2013,72292
770,97,2016,71373
771,97,2015,70979
772,97,2017,71606
773,97,2011,72179
774,97,2014,71762
775,97,2012,72215
776,97,2010,71838
777,98,2015,126084
778,98,2013,129332
779,98,2011,132952
780,98,2010,131782
781,98,2012,131826
782,98,2017,124756
783,98,2016,125355
784,98,2014,127054
785,99,2012,136002
786,99,2015,138682
787,99,2013,136448
788,99,2010,134612
789,99,2016,140079
790,99,2014,137209
791,99,2011,134181
792,99,2017,140776
793,100,2011,53422
794,100,2014,53008
795,100,2010,53572
796,100,2015,52935
797,100,2013,52982
798,100,2016,53297
799,100,2012,52973
800,100,2017,53501
801,101,2012,37009
802,101,2013,37419
803,101,2010,37158
804,101,2015,37786
805,101,2014,38064
806,101,2017,37466
807,101,2011,37124
808,101,2016,37767
809,102,2011,8569
810,102,2015,9549
811,102,2017,9455
812,102,2014,9319
813,102,2010,8332
814,102,2016,9623
815,102,2012,8744
816,102,2013,8892
817,103,2012,20492
818,103,2010,20492
819,103,2017,20601
820,103,2014,20442
821,103,2016,20523
822,103,2015,20342
823,103,2013,20479
824,103,2011,20582
825,104,2013,4006307
826,104,2010,3824644
827,104,2017,4307033
828,104,2012,3939776
829,104,2014,4076708
830,104,2016,4233383
831,104,2015,4154076
832,104,2011,3869626
833,105,2012,203262
834,105,2014,203320
835,105,2011,202733
836,105,2015,204524
837,105,2017,207200
838,105,2016,205385
839,105,2010,200315
840,105,2013,203026
841,106,2011,107518
842,106,2014,107613
843,106,2016,108322
844,106,2013,107077
845,106,2015,107543
846,106,2017,108956
847,106,2010,107695
848,106,2012,107268
849,107,2015,1005323
850,107,2011,987297
851,107,2013,994759
852,107,2017,1022769
853,107,2014,1000916
854,107,2016,1012519
855,107,2010,981540
856,107,2012,991528
857,108,2011,378226
858,108,2013,384258
859,108,2017,430237
860,108,2014,394004
861,108,2016,415115
862,108,2010,379504
863,108,2015,404069
864,108,2012,381910
865,109,2012,47292
866,109,2011,47615
867,109,2010,47425
868,109,2013,46845
869,109,2015,46191
870,109,2017,46212
871,109,2014,46468
872,109,2016,46075
873,110,2015,220621
874,110,2011,210883
